system,body,type,subType,temp,radius,absMagnitude,solMass,spectralClass,luminosity
Mylaifa ZG-C d13-4458,Mylaifa ZG-C d13-4458 B,Star,G (White-Yellow) Star,5384,5.073578,1.0295409920920202,0.984375,G7,Va
Mylaifa ZG-C d13-4458,Mylaifa ZG-C d13-4458 C,Star,G (White-Yellow) Star,5814,4.793625,1.0043334579439251,0.917969,G2,Vab
Thuechu PP-O a19-1,Thuechu PP-O a19-1 A,Star,L (Brown dwarf) Star,1758,12.752701,0.28143309849029474,0.152344,L3,V
Thuechu PP-O a19-1,Thuechu PP-O a19-1 B,Star,T (Brown dwarf) Star,736,18.878525,0.12686157296908698,0.035156,T9,V
Athairk LC-K d9-8078,Athairk LC-K d9-8078,Star,Neutron Star,2516784,5.039444,1.5529520129403306e-05,0.808594,None,VII
Blua Eaec CM-D b55-4,Blua Eaec CM-D b55-4,Star,M (Red dwarf) Star,2729,9.708939,0.4742431286843997,0.335938,M5,Va
Thaileia IJ-P a5-0,Thaileia IJ-P a5-0,Star,M (Red dwarf) Star,2146,11.499329,0.33633419410496046,0.183594,M9,VI
Gria Gree LL-S a72-0,Gria Gree LL-S a72-0,Star,T (Brown dwarf) Star,895,16.929749,0.15869140474478793,0.050781,T6,V
Brairee AK-A c29-541,Brairee AK-A c29-541 A,Star,K (Yellow-Orange) Star,5128,5.537704,0.9165648425593098,0.769531,K0,Va
Brairee AK-A c29-541,Brairee AK-A c29-541 B,Star,M (Red dwarf) Star,3603,8.094437,0.5721434823867722,0.414063,M0,Va
Gria Gree FB-D b32-1,Gria Gree FB-D b32-1,Star,M (Red dwarf) Star,2250,10.987396,0.38726804888569377,0.25,M8,Va
Pyrivo CI-X b20-5,Pyrivo CI-X b20-5 A,Star,M (Red dwarf) Star,2876,9.121231,0.55969233069734,0.386719,M4,Va
Pyrivo CI-X b20-5,Pyrivo CI-X b20-5 B,Star,M (Red dwarf) Star,2410,10.236389,0.4769896994967649,0.289063,M7,Va
Pyrivo CI-X b20-5,Pyrivo CI-X b20-5 C,Star,L (Brown dwarf) Star,1606,12.814972,0.32769771387491015,0.148438,L5,V
Pyraleau OB-C b46-5,Pyraleau OB-C b46-5,Star,M (Red dwarf) Star,2767,9.608017,0.4832458260244428,0.304688,M5,Va
Thuecheae GG-K b42-3,Thuecheae GG-K b42-3 A,Star,M (Red dwarf) Star,2019,11.576385,0.3667297311286844,0.207031,M9,VI
Thuecheae GG-K b42-3,Thuecheae GG-K b42-3 B,Star,T (Brown dwarf) Star,1227,14.803162,0.22476194967649174,0.085938,T1,V
Ploi Thua LI-B c13-8,Ploi Thua LI-B c13-8,Star,M (Red dwarf) Star,3341,8.258331,0.6170349043853343,0.480469,M2,Va
Tyroosks VN-F c1,Tyroosks VN-F c1,Star,K (Yellow-Orange) Star,3893,7.091263,0.7777709734004313,0.640625,K8,Va
Pyriveae LJ-V b33-0,Pyriveae LJ-V b33-0,Star,M (Red dwarf) Star,2299,10.586914,0.44604489432063266,0.257813,M8,Va
Wredguia YH-F b52-5,Wredguia YH-F b52-5 A,Star,M (Red dwarf) Star,2982,8.823349,0.5971373918044572,0.382813,M4,Va
Wredguia YH-F b52-5,Wredguia YH-F b52-5 B,Star,L (Brown dwarf) Star,1516,13.537888,0.2636413515456506,0.113281,L6,V
Hyuqoae YL-T b50-153,Hyuqoae YL-T b50-153 A,Star,M (Red dwarf) Star,3166,8.877365,0.5167236232925952,0.363281,M3,Va
Hyuqoae YL-T b50-153,Hyuqoae YL-T b50-153 B,Star,L (Brown dwarf) Star,1432,13.802917,0.26153560891445005,0.121094,L8,V
Byoi Euq KD-I c23-41,Byoi Euq KD-I c23-41 A,Star,M (Red dwarf) Star,3605,7.966675,0.6061400891445003,0.5,M0,Va
Byoi Euq KD-I c23-41,Byoi Euq KD-I c23-41 B,Star,M (Red giant) Star,2311,10.481903,0.4632873040977714,0.273438,M8,IVb
Byoi Euq KD-I c23-41,Byoi Euq KD-I c23-41 C,Star,L (Brown dwarf) Star,1875,11.94165,0.35940550395398996,0.1875,L1,V
Byoi Euq KD-I c23-41,Byoi Euq KD-I c23-41 D,Star,M (Red dwarf) Star,2260,11.236954,0.34219357584471605,0.199219,M8,Va
Oochost QP-U b49-0,Oochost QP-U b49-0 A,Star,M (Red dwarf) Star,2722,9.857727,0.4451293860531991,0.3125,M5,Va
Oochost QP-U b49-0,Oochost QP-U b49-0 B,Star,M (Red dwarf) Star,2422,10.449692,0.4281005549964055,0.242188,M7,Va
Plaa Chraei GF-R d4-24,Plaa Chraei GF-R d4-24,Star,A (Blue-White) Star,8509,2.272446,1.4968871200575127,1.726563,A5,Vb
Hyuqoae GN-H d11-1950,Hyuqoae GN-H d11-1950,Star,A (Blue-White) Star,7770,2.948151,1.3152160115025162,1.59375,A8,VI
Shrogaei PK-M d8-374,Shrogaei PK-M d8-374,Star,F (White) Star,6383,4.24118,1.074584845434939,1.070313,F7,Vb
Swoiwns ZA-X b30-0,Swoiwns ZA-X b30-0 A,Star,M (Red dwarf) Star,3618,8.139496,0.5557555715312724,0.410156,M0,Va
Swoiwns ZA-X b30-0,Swoiwns ZA-X b30-0 B,Star,M (Red dwarf) Star,2268,11.033875,0.37307734867002157,0.199219,M8,Va
Swoiwns ZA-X b30-0,Swoiwns ZA-X b30-0 C,Star,T (Brown dwarf) Star,878,17.348404,0.13598632350826742,0.046875,T7,V
Aucoks KG-E b18-3,Aucoks KG-E b18-3,Star,M (Red dwarf) Star,2810,9.515945,0.48886107836089143,0.371094,M5,Va
Truechiae PW-N d6-0,Truechiae PW-N d6-0,Star,F (White) Star,6586,4.207947,1.0249328080517612,1.214844,F6,Vb
Dryio Flyuae OJ-I b25-24,Dryio Flyuae OJ-I b25-24,Star,M (Red dwarf) Star,3137,8.960098,0.5066528023005032,0.382813,M3,Va
Chau Thua HA-N b34-0,Chau Thua HA-N b34-0,Star,M (Red dwarf) Star,3060,8.922241,0.5418395514018691,0.363281,M3,Va
Striechae OD-S c20-3,Striechae OD-S c20-3 A,Star,K (Yellow-Orange) Star,3926,7.46138,0.6449279079798707,0.558594,K8,Va
Striechae OD-S c20-3,Striechae OD-S c20-3 B,Star,M (Red dwarf) Star,2434,10.714081,0.3753051560028756,0.222656,M7,Va
Shrogaae AB-F d11-6678,Shrogaae AB-F d11-6678,Star,F (White) Star,6669,3.804901,1.2033995916606757,1.296875,F5,Vb
Tyriedgaa XK-L b35-0,Tyriedgaa XK-L b35-0,Star,M (Red dwarf) Star,2868,9.325745,0.5122375499640547,0.300781,M4,Va
Eoch Flyuae SD-J d9-2134,Eoch Flyuae SD-J d9-2134,Star,F (White) Star,6141,4.587311,0.9899596376707405,1.136719,F9,Vb
Eoch Flyuae SD-J d9-2134,Eoch Flyuae SD-J d9-2134 5,Star,Y (Brown dwarf) Star,497,20.244217,0.0914001380301941,0.023438,Y2,V
Eoch Flyuae SD-J d9-2134,Eoch Flyuae SD-J d9-2134 7,Star,Y (Brown dwarf) Star,453,21.562897,0.07672118475916606,0.015625,Y3,V
Flyai Phoe WS-O b37-0,Flyai Phoe WS-O b37-0 A,Star,M (Red dwarf) Star,3498,8.337692,0.5426940503235083,0.421875,M1,Va
Flyai Phoe WS-O b37-0,Flyai Phoe WS-O b37-0 B,Star,M (Red dwarf) Star,2235,11.096298,0.3732909964054637,0.214844,M8,Va
Flyai Phoe WS-O b37-0,Flyai Phoe WS-O b37-0 C,Star,L (Brown dwarf) Star,1432,13.752289,0.26770017541337165,0.113281,L8,V
Kyloall IK-D d13-4091,Kyloall IK-D d13-4091,Star,Neutron Star,5608724,4.332169,1.5658698777857658e-05,0.792969,None,VII
Pyrivo TL-J d10-59,Pyrivo TL-J d10-59 A,Star,G (White-Yellow) Star,5895,4.766434,0.9892577081236521,1.160156,G1,Vab
Pyrivo TL-J d10-59,Pyrivo TL-J d10-59 B,Star,M (Red dwarf) Star,3678,7.626144,0.681152322070453,0.523438,M0,Va
Pyrivo FE-J c25-6,Pyrivo FE-J c25-6 A,Star,K (Yellow-Orange) Star,4009,7.328674,0.6574706657081236,0.578125,K7,Va
Pyrivo FE-J c25-6,Pyrivo FE-J c25-6 B,Star,M (Red dwarf) Star,2151,11.184753,0.38693235945363047,0.234375,M9,VI
Brairee YB-B d14-2376,Brairee YB-B d14-2376 A,Star,G (White-Yellow) Star,5785,4.550446,1.134612980589504,1.140625,G2,Vab
Brairee YB-B d14-2376,Brairee YB-B d14-2376 B,Star,M (Red dwarf) Star,2734,9.839783,0.44488521063982744,0.3125,M5,Va
Brairee YB-B d14-2376,Brairee YB-B d14-2376 C,Star,K (Yellow-Orange) Star,4710,6.428192,0.7210388152408339,0.667969,K3,Vab
Mylaifa SJ-Q d5-3569,Mylaifa SJ-Q d5-3569,Star,F (White) Star,6548,4.111664,1.083862222861251,1.277344,F6,Vb
Dryiqau NC-L b25-3,Dryiqau NC-L b25-3 A,Star,M (Red dwarf) Star,2690,9.530029,0.5299987232207045,0.34375,M5,Va
Pyra Eop CD-M c10-0,Pyra Eop CD-M c10-0 A,Star,K (Yellow-Orange) Star,4614,5.984756,0.9215392667145939,0.832031,K3,Va
Pyra Eop CD-M c10-0,Pyra Eop CD-M c10-0 B,Star,M (Red dwarf) Star,2872,9.407349,0.4919738432782171,0.339844,M4,Va
Pro Aeg NM-K c22-0,Pro Aeg NM-K c22-0 A,Star,K (Yellow-Orange) Star,5030,5.524307,0.9585265736879942,0.8125,K1,Va
Pro Aeg NM-K c22-0,Pro Aeg NM-K c22-0 B,Star,K (Yellow-Orange) Star,3742,7.70108,0.6357421365923795,0.441406,K9,Va
Croomoi EL-P e5-3368,Croomoi EL-P e5-3368,Star,Neutron Star,1869898,5.065018,1.1755257009345794e-05,1.871094,None,VII
Dryooe Flyou WT-J b38-36,Dryooe Flyou WT-J b38-36 A,Star,M (Red dwarf) Star,3416,8.263138,0.5889281840402588,0.394531,M1,Va
Dryooe Flyou WT-J b38-36,Dryooe Flyou WT-J b38-36 B,Star,M (Red dwarf) Star,2017,11.76329,0.33715818835370237,0.167969,M9,VI
Drojeae HZ-K b55-4,Drojeae HZ-K b55-4,Star,M (Red dwarf) Star,2978,9.057663,0.5375060474478792,0.359375,M4,Va
Nyauthou PJ-I c25-6,Nyauthou PJ-I c25-6 A,Star,K (Yellow-Orange) Star,4863,6.154953,0.7670592322070453,0.652344,K2,Vab
Nyauthou PJ-I c25-6,Nyauthou PJ-I c25-6 B,Star,M (Red dwarf) Star,2299,10.99884,0.36898799712437097,0.226563,M8,Va
Hypuae Audst SY-S d3-6,Hypuae Audst SY-S d3-6 A,Star,G (White-Yellow) Star,5294,5.355728,0.9351500560747663,1.03125,G8,Vab
Hypuae Audst SY-S d3-6,Hypuae Audst SY-S d3-6 B,Star,M (Red dwarf) Star,2777,9.336716,0.5436095585909417,0.335938,M5,Va
Boelts TC-K c9-73,Boelts TC-K c9-73,Star,K (Yellow-Orange) Star,4498,6.496048,0.7662962933141625,0.605469,K4,Va
Bleae Briae RK-I c9-24,Bleae Briae RK-I c9-24,Star,K (Yellow-Orange) Star,4935,5.640793,0.9437865132997844,0.816406,K1,Vz
Nuekuae NS-L b52-22,Nuekuae NS-L b52-22,Star,M (Red dwarf) Star,3189,8.683975,0.5567321351545651,0.382813,M3,Va
Pyuefoea JB-V d3-21,Pyuefoea JB-V d3-21 A,Star,F (White) Star,6399,4.333313,1.024810697340043,1.207031,F7,Vb
Pyuefoea JB-V d3-21,Pyuefoea JB-V d3-21 B,Star,K (Yellow-Orange) Star,4245,6.790329,0.7513427462257369,0.574219,K6,Va
Pyuefoea JB-V d3-21,Pyuefoea JB-V d3-21 C,Star,K (Yellow-Orange) Star,3779,7.357376,0.7302245866283249,0.554688,K9,Va
Pyuefoea JB-V d3-21,Pyuefoea JB-V d3-21 D,Star,M (Red dwarf) Star,2792,9.52269,0.4936522904385334,0.292969,M5,Va
Mylienga EV-H b10-2,Mylienga EV-H b10-2,Star,M (Red dwarf) Star,2435,10.652206,0.3858337311286844,0.234375,M7,Va
Stuemeae XY-S b3-5,Stuemeae XY-S b3-5 A,Star,M (Red dwarf) Star,2907,9.37207,0.48806763479511145,0.347656,M4,Va
Stuemeae XY-S b3-5,Stuemeae XY-S b3-5 B,Star,M (Red dwarf) Star,2976,9.028259,0.5455627318475916,0.34375,M4,Va
Dryaa Pri CD-Y a22,Dryaa Pri CD-Y a22 A,Star,L (Brown dwarf) Star,1868,12.048248,0.34475702659956864,0.191406,L1,V
Dryaa Pri CD-Y a22,Dryaa Pri CD-Y a22 B,Star,T (Brown dwarf) Star,1195,15.17601,0.1995849432063264,0.085938,T1,V
Drootie XO-X a14-3,Drootie XO-X a14-3,Star,T (Brown dwarf) Star,1122,15.556671,0.19000243853342919,0.074219,T2,V
Ploi Aub VN-S b5-18,Ploi Aub VN-S b5-18,Star,M (Red dwarf) Star,2266,10.970001,0.384887672178289,0.253906,M8,Va
Blua Eaec HM-V b47-29,Blua Eaec HM-V b47-29,Star,M (Red dwarf) Star,3164,8.517654,0.6105651071171819,0.414063,M3,Va
Bleia Dryiae XU-N c23-5,Bleia Dryiae XU-N c23-5 A,Star,K (Yellow-Orange) Star,5031,6.003098,0.7685851099928109,0.742188,K1,Vab
Bleia Dryiae XU-N c23-5,Bleia Dryiae XU-N c23-5 B,Star,M (Red dwarf) Star,2291,10.608154,0.4447936506110712,0.242188,M8,Va
Plaa Briae TG-F b52-6,Plaa Briae TG-F b52-6 A,Star,M (Red dwarf) Star,2889,9.337433,0.5021056736161035,0.359375,M4,Va
Plaa Briae TG-F b52-6,Plaa Briae TG-F b52-6 B,Star,M (Red dwarf) Star,2232,11.174927,0.36099239108555,0.226563,M8,Va
Myriesly GA-P c19-5713,Myriesly GA-P c19-5713,Star,K (Yellow-Orange) Star,3900,7.369507,0.6817931502516176,0.550781,K8,Va
Scheau Phoe SO-R c20-1,Scheau Phoe SO-R c20-1,Star,K (Yellow-Orange) Star,5116,5.388962,0.9861449432063264,0.84375,K0,Va
Smootoae GH-F b52-16,Smootoae GH-F b52-16,Star,M (Red dwarf) Star,3253,8.451141,0.5955810093457944,0.417969,M2,Va
Fachiae JA-H c13-0,Fachiae JA-H c13-0,Star,K (Yellow-Orange) Star,4001,7.10025,0.7333068468727534,0.605469,K7,Va
Gria Gree SM-H b2-0,Gria Gree SM-H b2-0 A,Star,M (Red dwarf) Star,3150,8.82402,0.5349731013659238,0.351563,M3,Va
Gria Gree SM-H b2-0,Gria Gree SM-H b2-0 B,Star,L (Brown dwarf) Star,1849,12.263596,0.3186645578720345,0.144531,L2,V
Gria Gree SM-H b2-0,Gria Gree SM-H b2-0 C,Star,M (Red dwarf) Star,2136,11.368866,0.36050410927390364,0.230469,M9,VI
Plua Aewsy NA-N b34-7,Plua Aewsy NA-N b34-7 A,Star,M (Red dwarf) Star,3555,7.989166,0.616882289000719,0.417969,M0,Va
Plua Aewsy NA-N b34-7,Plua Aewsy NA-N b34-7 B,Star,L (Brown dwarf) Star,1935,11.651138,0.3857421710999281,0.199219,L0,V
Smootiae QH-U c16-32,Smootiae QH-U c16-32 A,Star,K (Yellow-Orange) Star,4613,6.240372,0.8195800431344357,0.765625,K3,Va
Smootiae QH-U c16-32,Smootiae QH-U c16-32 B,Star,M (Red dwarf) Star,2175,11.284546,0.36145016822429904,0.230469,M8,Va
Smootiae QH-U c16-32,Smootiae QH-U c16-32 C,Star,L (Brown dwarf) Star,1534,13.408844,0.27325437239396116,0.117188,L6,V
Smootiae QH-U c16-32,Smootiae QH-U c16-32 D,Star,M (Red dwarf) Star,3157,9.053818,0.4791259468008627,0.332031,M3,Va
Smootiae QH-U c16-32,Smootiae QH-U c16-32 E,Star,L (Brown dwarf) Star,1896,12.041107,0.33575437526959023,0.171875,L1,V
Hyuqoae GN-H d11-3756,Hyuqoae GN-H d11-3756,Star,Neutron Star,2435277,4.90535,1.6141714593817398e-05,0.710938,None,VII
Blu Thua HL-Y e5,Blu Thua HL-Y e5 A,Star,B (Blue-White) Star,14833,-1.359299,2.6222229072609635,4.160156,B7,Vz
Blu Thua HL-Y e5,Blu Thua HL-Y e5 B,Star,B (Blue-White) Star,12489,-0.409943,2.3891294780733285,3.613281,B8,Vz
Dryio Flyuae QO-R e4-289,Dryio Flyuae QO-R e4-289,Star,B (Blue-White) Star,11486,0.081863,2.2522887361610353,3.289063,B9,Vz
Puekee KZ-A a82-2,Puekee KZ-A a82-2,Star,T (Brown dwarf) Star,834,17.342972,0.15109252048885694,0.050781,T7,V
Pyra Eop YL-J d10-0,Pyra Eop YL-J d10-0 A,Star,F (White) Star,6381,4.47966,0.9634704471603163,1.109375,F7,VI
Pyra Eop YL-J d10-0,Pyra Eop YL-J d10-0 B,Star,K (Yellow-Orange) Star,3732,8.006866,0.5552062573687995,0.445313,K9,Va
Pyriveae FQ-I c24-3,Pyriveae FQ-I c24-3,Star,M (Red dwarf) Star,3297,8.375488,0.6003417627606039,0.480469,M2,Va
Blua Eaec ZL-L d8-249,Blua Eaec ZL-L d8-249,Star,A (Blue-White) Star,7753,2.718704,1.4681699381739755,1.695313,A8,Vb
Thuechu RS-C a12-6,Thuechu RS-C a12-6,Star,T (Brown dwarf) Star,727,18.132446,0.13824461250898634,0.042969,T9,V
Dryiqou JM-L c24-9,Dryiqou JM-L c24-9,Star,K (Yellow-Orange) Star,5100,5.79454,0.8233031775700934,0.855469,K0,Vab
Prielu XJ-R d4-67,Prielu XJ-R d4-67 A,Star,F (White) Star,7428,2.826752,1.5218504327821711,1.75,F0,Vab
Prielu XJ-R d4-67,Prielu XJ-R d4-67 B,Star,K (Yellow-Orange) Star,4544,6.263153,0.8358458892882819,0.765625,K4,Va
Prielu XJ-R d4-67,Prielu XJ-R d4-67 C,Star,M (Red dwarf) Star,3590,7.878082,0.6366576908698778,0.550781,M0,Va
Prielu XJ-R d4-67,Prielu XJ-R d4-67 D,Star,M (Red dwarf) Star,2183,11.112411,0.388397181883537,0.207031,M8,Va
Prielu XJ-R d4-67,Prielu XJ-R d4-67 E,Star,L (Brown dwarf) Star,1955,11.642166,0.3794555629043853,0.207031,L0,V
Prielu XJ-R d4-67,Prielu XJ-R d4-67 F,Star,L (Brown dwarf) Star,1734,12.743561,0.2904968051761323,0.140625,L3,V
Stuemeae YZ-Y c980,Stuemeae YZ-Y c980,Star,K (Yellow-Orange) Star,4793,5.702118,0.9726867232207045,0.855469,K2,Va
Shrogaae BL-P e5-252,Shrogaae BL-P e5-252,Star,A (Blue-White) Star,8135,2.518539,1.462249639108555,1.945313,A7,Vab
Truechuae JN-Z c27-41,Truechuae JN-Z c27-41 A,Star,K (Yellow-Orange) Star,3888,7.362503,0.688232396836808,0.480469,K8,Va
Truechuae JN-Z c27-41,Truechuae JN-Z c27-41 B,Star,M (Red dwarf) Star,3102,9.007019,0.5070800517613228,0.386719,M3,Va
Truechuae JN-Z c27-41,Truechuae JN-Z c27-41 C,Star,L (Brown dwarf) Star,1615,13.359741,0.25216671746944647,0.125,L5,V
Truechuae JN-Z c27-41,Truechuae JN-Z c27-41 D,Star,L (Brown dwarf) Star,1656,12.698853,0.3251342401150252,0.144531,L4,V
Gria Gree ZJ-L a76-2,Gria Gree ZJ-L a76-2,Star,T (Brown dwarf) Star,789,17.810257,0.1361389043853343,0.046875,T8,V
Pyrivo JH-L c24-16,Pyrivo JH-L c24-16,Star,G (White-Yellow) Star,5670,5.009064,0.9562987663551402,0.886719,G4,Vab
Stuemeae QT-Z c5018,Stuemeae QT-Z c5018 A,Star,K (Yellow-Orange) Star,4522,6.548004,0.740264856937455,0.652344,K4,Va
Stuemeae QT-Z c5018,Stuemeae QT-Z c5018 B,Star,M (Red dwarf) Star,3639,7.642975,0.6904601581595974,0.523438,M0,Va
Stuemeae QT-Z c5018,Stuemeae QT-Z c5018 C,Star,L (Brown dwarf) Star,1933,11.934158,0.3393249403306973,0.203125,L0,V
Traikea VI-T d3-43,Traikea VI-T d3-43,Star,A (Blue-White) Star,7707,3.240082,1.1686706427030913,1.449219,A9,VI
Pyrivo PZ-D d13-41,Pyrivo PZ-D d13-41 A,Star,F (White) Star,6495,3.859818,1.2370605549964055,1.246094,F6,Vb
Pyrivo PZ-D d13-41,Pyrivo PZ-D d13-41 B,Star,M (Red dwarf) Star,2086,11.273132,0.3950195025161754,0.210938,M9,VI
Pyrivo PZ-D d13-41,Pyrivo PZ-D d13-41 C,Star,L (Brown dwarf) Star,1391,14.17804,0.23321530984902947,0.09375,L8,V
Pyrivo PZ-D d13-41,Pyrivo PZ-D d13-41 D,Star,T (Brown dwarf) Star,1219,15.149551,0.19415281092739037,0.082031,T1,V
Thuechu IX-A d1-135,Thuechu IX-A d1-135 A,Star,Neutron Star,4457646,5.217896,1.7439117541337168e-05,0.570313,None,VII
Thuechu IX-A d1-135,Thuechu IX-A d1-135 B,Star,M (Red dwarf) Star,3638,7.99617,0.5871581308411215,0.433594,M0,Va
Synuefai KV-D c0,Synuefai KV-D c0 A,Star,K (Yellow-Orange) Star,3993,7.09166,0.739166228612509,0.617188,K8,Va
Pyrivo TF-C d14-85,Pyrivo TF-C d14-85,Star,G (White-Yellow) Star,5757,4.980972,0.9396972307692307,1.007813,G3,Vab
Eok Bluae HV-Q c7-3420,Eok Bluae HV-Q c7-3420,Star,K (Yellow-Orange) Star,4295,6.415237,0.8723143867721064,0.699219,K6,Va
Nuekuae PM-O c21-79,Nuekuae PM-O c21-79,Star,G (White-Yellow) Star,5480,5.243668,0.918945311286844,0.859375,G6,Vab
Nuwo MY-N b40-0,Nuwo MY-N b40-0,Star,M (Red dwarf) Star,2123,11.170059,0.39990232063263836,0.238281,M9,VI
Ploi Briae AZ-H c23-19,Ploi Briae AZ-H c23-19,Star,K (Yellow-Orange) Star,3700,7.822067,0.61502072178289,0.484375,K9,Va
Bleae Thua CF-P b19-13,Bleae Thua CF-P b19-13 A,Star,M (Red dwarf) Star,2635,9.870041,0.4723205521207764,0.292969,M6,Va
Bleae Thua CF-P b19-13,Bleae Thua CF-P b19-13 B,Star,L (Brown dwarf) Star,1800,12.441025,0.3098754622573688,0.136719,L2,V
Bleae Thua CF-P b19-13,Bleae Thua CF-P b19-13 C,Star,T (Brown dwarf) Star,1121,15.200684,0.22424314018691588,0.085938,T2,V
Thuecheae HU-Q c21-22,Thuecheae HU-Q c21-22 A,Star,K (Yellow-Orange) Star,4053,7.046951,0.732360787922358,0.636719,K7,Va
Thuecheae HU-Q c21-22,Thuecheae HU-Q c21-22 B,Star,M (Red dwarf) Star,2475,10.696487,0.36593624155283966,0.234375,M7,Va
Thuecheae HU-Q c21-22,Thuecheae HU-Q c21-22 C,Star,L (Brown dwarf) Star,1644,13.23407,0.2578430021567218,0.132813,L5,V
Bleia Byoe BA-W a15-2,Bleia Byoe BA-W a15-2 A,Star,L (Brown dwarf) Star,1672,12.830795,0.30014037670740473,0.136719,L4,V
Bleia Byoe BA-W a15-2,Bleia Byoe BA-W a15-2 B,Star,T (Brown dwarf) Star,781,17.673126,0.1428527735442128,0.039063,T8,V
Drojao WA-E a25-1,Drojao WA-E a25-1 A,Star,L (Brown dwarf) Star,1485,13.478973,0.28231810208483105,0.125,L7,V
Drojao WA-E a25-1,Drojao WA-E a25-1 B,Star,L (Brown dwarf) Star,1395,13.83017,0.2721557440690151,0.121094,L8,V
Drojao WA-E a25-1,Drojao WA-E a25-1 C,Star,Y (Brown dwarf) Star,668,18.813049,0.1065063407620417,0.03125,Y0,V
Chua Eohn WB-Y b6-0,Chua Eohn WB-Y b6-0 A,Star,M (Red dwarf) Star,3041,8.767838,0.589050294751977,0.394531,M3,Va
Chua Eohn WB-Y b6-0,Chua Eohn WB-Y b6-0 B,Star,L (Brown dwarf) Star,1800,12.565369,0.29263305248023,0.148438,L2,V
Athairk BX-Q c6-894,Athairk BX-Q c6-894 A,Star,K (Yellow-Orange) Star,4857,5.858292,0.8815002041696621,0.800781,K2,Va
Athairk BX-Q c6-894,Athairk BX-Q c6-894 B,Star,M (Red dwarf) Star,2683,9.962631,0.43655389216391083,0.289063,M5,Va
Athairk BX-Q c6-894,Athairk BX-Q c6-894 C,Star,L (Brown dwarf) Star,1440,13.83078,0.25534056074766354,0.109375,L7,V
Byoomao XE-X d2-8253,Byoomao XE-X d2-8253,Star,F (White) Star,7162,3.708344,1.0908507836089145,1.230469,F2,VI
Drooteou IO-X d2-123,Drooteou IO-X d2-123 A,Star,K (Yellow-Orange) Star,5191,5.293671,1.0007933515456506,0.894531,K0,Va
Drooteou IO-X d2-123,Drooteou IO-X d2-123 B,Star,G (White-Yellow) Star,5353,5.315094,0.9319152724658519,0.890625,G8,Vab
Drooteou IO-X d2-123,Drooteou IO-X d2-123 C,Star,M (Red dwarf) Star,2972,9.480331,0.4442443824586628,0.316406,M4,Va
Drooteou IO-X d2-123,Drooteou IO-X d2-123 D,Star,M (Red dwarf) Star,2509,10.312393,0.4249572393961179,0.269531,M7,Va
Drooteou IO-X d2-123,Drooteou IO-X d2-123 E,Star,M (Red dwarf) Star,3090,9.126907,0.48358151545650613,0.347656,M3,Va
Boelts IA-H b26,Boelts IA-H b26,Star,M (Red dwarf) Star,2081,11.475403,0.3616332652767793,0.203125,M9,VI
Smootiae UD-K d8-181,Smootiae UD-K d8-181 A,Star,F (White) Star,7067,3.335083,1.3304442386772106,1.460938,F2,Vb
Smootiae UD-K d8-181,Smootiae UD-K d8-181 B,Star,M (Red dwarf) Star,3319,8.125992,0.664520189791517,0.449219,M2,Va
Phraa Hypai JV-I c11-2,Phraa Hypai JV-I c11-2,Star,M (Red dwarf) Star,3305,8.480362,0.5692748468727534,0.449219,M2,Va
NGC 6871 Sector BY-Y b15-2,NGC 6871 Sector BY-Y b15-2 A,Star,T Tauri Star,2914,8.770126,0.6408385794392524,0.445313,TTS4,Va
NGC 6871 Sector BY-Y b15-2,NGC 6871 Sector BY-Y b15-2 B,Star,T Tauri Star,2042,11.368912,0.3944396836808052,0.203125,TTS9,VI
Smootiae DW-E d11-69,Smootiae DW-E d11-69 A,Star,F (White) Star,6785,3.523178,1.3236083393242273,1.515625,F4,Vab
Smootiae DW-E d11-69,Smootiae DW-E d11-69 B,Star,K (Yellow-Orange) Star,4605,5.865738,0.9772643565780015,0.828125,K3,Va
Dryaa Pri CX-F c73,Dryaa Pri CX-F c73,Star,K (Yellow-Orange) Star,4406,6.862839,0.6745300014378145,0.613281,K5,Vab
Bleae Briae HQ-G d10-60,Bleae Briae HQ-G d10-60,Star,F (White) Star,6249,4.248138,1.117584195542775,1.078125,F8,Vb
Phraa Hypai PD-A d1-5,Phraa Hypai PD-A d1-5 A,Star,F (White) Star,7067,3.555283,1.2021789446441409,1.460938,F2,Vb
Phraa Hypai PD-A d1-5,Phraa Hypai PD-A d1-5 B,Star,M (Red dwarf) Star,3507,7.882751,0.6657104241552839,0.519531,M1,Va
Phraa Hypai PD-A d1-5,Phraa Hypai PD-A d1-5 C,Star,K (Yellow-Orange) Star,3864,7.400299,0.6847838964773544,0.5625,K8,Va
Phraa Hypai PD-A d1-5,Phraa Hypai PD-A d1-5 D,Star,M (Red dwarf) Star,2158,11.344147,0.35723875197699495,0.222656,M9,VI
Sutchooe WD-I c23-2,Sutchooe WD-I c23-2 A,Star,K (Yellow-Orange) Star,4959,5.547867,0.9755248080517613,0.839844,K1,Va
Sutchooe WD-I c23-2,Sutchooe WD-I c23-2 B,Star,K (Yellow-Orange) Star,3729,7.408356,0.7325439079798706,0.542969,K9,Va
Sutchooe WD-I c23-2,Sutchooe WD-I c23-2 C,Star,M (Red dwarf) Star,2732,9.492706,0.5227355744069015,0.339844,M5,Va
Sutchooe WD-I c23-2,Sutchooe WD-I c23-2 D,Star,M (Red dwarf) Star,2751,9.566345,0.4983519884974838,0.355469,M5,Va
